tid, template, count
652, 84x=2500-30*60, 1
653, x=(3+3+3*364)*365/(2*100), 1
654, 3x/10+11=4x/5, 1
655, x=5/24*8/23*11/22, 4
656, x=2*0.7*0.6*0.4*0.2+2*0.4*0.8*0.3*0.6, 1
657, x+x-95+x-186=1000, 1
658, x=64*1/7+80*6/7, 1
659, 102.6=90+90*x*8/12, 1
660, x=149+3.85*6*12, 1
661, x=1/2*2*(5+1+3), 1
662, x=(2+5+6)*48/6, 1
663, x=4*3/(10*9)+6*5/(10*9), 1
664, (x+84+80+76+96+80)/6=85, 1
665, x=123-2*(123-85), 2
666, (12+x)-2*7=6, 1
667, 1000*x=75-1000*0.04, 1
668, 180-x+90-x=200, 1
669, 8x-6x=1/4, 1
670, (6+x)*144/12=240, 1
671, x/2=2*x-3, 1
672, x*(12+2*18)*10=3*2000*16, 1
673, x=6*(1/2*6*5.2)*9, 1
674, x-2=(5-2)/(-3+6)*(-5+6), 1
675, 1/2*(x+3+x+5)*x=360, 1
676, (200*(1-0.05)*x)/(200*2.45)=1+0.4, 1
677, x=0.04*5000+0.08*5000+(18000-10000)*0.12, 1
678, x=1-0.8*(1-0.53)-0.53*(1-0.8)-0.48, 1
679, (x/50/2*150)+x=3, 1
680, 2500/x+2500/(x*(1+0.200))=9+10/60, 1
681, x=(1/5)/(1+1/5)+(2/13)/(1+2/13), 1
682, x=(12+3+30/60)-(7+45/60), 1
683, x=20-(20+16+20-48), 1
684, (1+13/60)/(0.400)=x/(1.000), 2
685, x=1/(1/8-1/12), 1
686, x*(5+10+25)=600, 1
687, x*378+(x-2)*214=2384, 1
688, x=193*(1-0.250)-3, 1
689, x*6=5*13+7, 1
690, x=((20*6*2+15*6*2)/10+(20*6*2+15*6*2)/15)*3.5, 1
691, x=80*(1.000-0.100-0.250-0.300-0.150), 1
692, x*(1/4+1/6)=1, 3
693, (46+x)/(18+x)=2, 1
694, x=(60+8*2)*(40*8*2), 1
695, 0.200+2*0.010=x/100*(1+2), 1
696, x*3+60=45*4, 1
697, x*(1/8+1/12+1/24)=1, 1
698, (40-x)*(1/18/40)*(18+6)=1, 1
699, x=367*5.84/100+6.14, 1
700, x+375-240+93-164-157=54, 1
701, x=(24+24+5*19)*20/2, 1
702, x/30=x/40+5/60, 1
703, x+x-4000+500=24500, 1
704, x/15=x/3-48/60, 1
705, x=4/5*(64+45), 1
706, (x+6)*(1-0.600)=6*0.500, 1
707, x=(200+25)+2500*0.060, 2
708, 3/4/(1/8+1/10)+1/4/(1/10)=x, 1
709, x=(250000*(1+0.300)*(1-0.050)*(1+0.200)-250000)/250000, 1
710, 46*0.198+47x+50*(1-0.198-x)=47.99, 1
711, 3=(9+3)/(4-x), 1
712, x=3/(3+2+5)*24300, 1
713, (5-2)/(x+6)=(8-2)/(-2+6), 1
714, (600-123)/(x+x+6)=(4+1/2), 1
715, x*(1-0.200)=457.89*(1+0.350), 1
716, x+88-5*x=40, 1
717, x+x+40+5*x=180, 1
718, x*x+3*x+10*x=105, 1
719, 600+1500-(600-x)+200=2000, 1
720, x+5*x+(4*x-2)=180, 1
721, x0000=110/100*x+80/100*x, 4
722, 7=x+(3*x+3), 1
723, (300/x+1.5)*(x-15)=330, 1
724, (2/5)*x=(408-x+32)*4, 1
725, x/(x+50)=3/8, 2
726, x*2+(x+x)*2=90, 1
727, x80=(x0*x)+50*(x+3/x), 1
728, 100-x+8x=x33, 1
729, 6*6*(5/6-1/6)=x, 1
730, x*(1/2+1/4+1/5)+49=x, 1
731, (1/4)*x+(1/6)*x+(1/2)*x=1, 1
732, 600+x=880-x, 1
733, 500+1.8*500+x=1500, 1
734, 35/6/19/5=x, 1
735, 14*x+22*x=1.8*100, 1
736, 6/3*12*1/2=x, 1
737, 5.4*1/10-3.2*1/10=x, 1
738, (10+6+8)-22=x, 8
739, (8+6+9+12+4*x)/5=x, 1
740, x-0.3*x=21, 1
741, 10*(8*7)*(8*7*6)/(16*15*14*13*12)=x, 1
742, x+x-10+x-26+x-32=144, 1
743, 1.04*(0.08*x+4*13)=199.68, 1
744, 500-4*x=350-26, 1
745, 8*x/27*x=1/2220075, 1
746, 18*(10+x)=42*(10-x), 1
747, 4/3*10=6*x, 1
748, 60=(1.75-1.25)*x-10, 1
749, (1+0.1)-0.1=x, 103
750, 4/(1-x)=2*10/(9-x), 1
751, 65*x+55*x=360, 2
752, 1/3+2/9+x=1, 1
753, x=(1-0.8)*(1-0.8)*(1-0.8)*0.8, 1
754, 0.245+(0.225-0.215+0.235-0.225+0.245-0.235)/3=x, 1
755, 5/20*1.3=x/1000, 1
756, 4*(1/2)*(16/2)*(x/2)=120, 1
757, 4/14*3/13*2/12*1/11=x, 2
758, 5/9+5/6-2/3=x, 1
759, (4/2)*5*6*7=x, 1
760, 0.1*79+0.1*64.42+0.35*63+0.2*74.5+0.25*72.2=x, 2
761, (1/3)=(5-x)/(-6-3), 1
762, 8*(19*18/2-6*7/2)=x, 1
763, 1000*(0)=(1000-2)*(1)+2*(x), 1
764, (7*2)+(7*7*7*4)+(7*7*7*7*4)=x, 1
765, 30-(14+8+3+0.80+1.25+0.10)=x, 1
766, (3/9)*(2/8)+(3/9)*(2/8)+(3/9)*(2/8)=x, 1
767, 0.75*0.5*x/3=120, 1
768, (4+5+3+1)/36=x, 1
769, (x)+(2*x)+(4*x)=49, 1
770, (5*10)-(3*9*1)-(2*7)+6-4-8=x, 1
771, (36.75+36.375+37.5+x)/4=36.625, 1
772, (52+46+52+2*x)/5=61, 1
773, 2*1/52*13/52=x, 1
774, (5/8+1/4)/2=x, 1
775, 1/2*x/60+1/2*x/45=5+15/60, 1
776, 4*(x/24)=80, 1
777, 1/2*(19+31)*12=x, 1
778, 3/5*(1-2/5)+(1-3/5)*2/5=x, 1
779, 0*0.70+2000*0.15+4000*0.08+6000*0.05+8000*0.01+10000*0.01=x, 1
780, 7*x+2760-12*x=2300, 1
781, 100*99*80*79*20/4=x, 1
782, (11-2*x)*(14-2*x)=80, 1
783, 0.5+0.1915-1+0.5+0.1915=x, 1
784, (5/15)*(6/14)*(5/13)*(4/12)=x, 1
785, 1/6*2/6+1/6*1/6=x, 1
786, 8*x+3*(7*x)+4*x+2*(10*x)=323.30, 1
787, 6/60+15/60+12/60+8/60=x, 2
788, (2+1)/(3+2+2+1)=x, 1
789, 3*5*7*9+1=x, 1
790, (10*9*8*7*6*5*4*3*2*1)/(2*1*3*2*1*4*3*2*1)=x, 1
791, 1-(1-0.4)*(1-0.6)=x, 1
792, 0.5*x+0.288+0.064=0.4, 1
793, 270=(9+x)*(6+x), 1
794, x=1/2*(2)*(7.5+4), 1
795, 1/2*(x-1)+2*x+3=20, 1
796, x=20-((2*5.92)+6.79), 2
797, x=(((20+26)+20)-(6+58)), 2
798, x=((8+13)-(2+18)), 8
799, x=(((2.0*10.62)+13.95)-1.59), 1
800, x=(20.0+((2.0*5.92)+6.79)), 2
801, x=((20.0+6.79)-(2.0*5.92)), 2
802, x=(((9.0+10.0)+3.0)/13.0), 1
803, x=(13.0*((10.0+3.0)-9.0)), 3
804, x=(((20.0+26.0)+20.0)+(6.0+58.0)), 2
805, x=((((20.0+26.0)+20.0)+6.0)-58.0), 2
806, x=((6.0*6.0)+(8.0/18.0)), 1
807, x=((8.0+13.0)+(2.0+18.0)), 1
